systime	kido	LPFed Kido	LPFedKido /1000
0	488	-2967	-2.967
4	488	-2670	-2.67
8	490	-2402	-2.402
12	490	-2160	-2.16
16	490	-1943	-1.943
20	490	-1747	-1.747
24	490	-1571	-1.571
28	490	-1413	-1.413
32	490	-1270	-1.27
36	489	-1142	-1.142
40	489	-1027	-1.027
44	489	-924	-0.924
48	489	-831	-0.831
52	489	-747	-0.747
56	490	-671	-0.671
60	490	-602	-0.602
64	490	-541	-0.541
68	490	-485	-0.485
72	490	-435	-0.435
76	490	-390	-0.39
80	490	-350	-0.35
84	490	-314	-0.314
88	490	-281	-0.281
92	489	-252	-0.252
96	489	-226	-0.226
100	490	-202	-0.202
104	490	-180	-0.18
108	490	-161	-0.161
112	490	-143	-0.143
116	490	-128	-0.128
120	490	-114	-0.114
124	489	-101	-0.101
128	490	-90	-0.09
132	489	-80	-0.08
136	489	-71	-0.071
140	489	-64	-0.064
144	489	-57	-0.057
148	489	-50	-0.05
152	489	-44	-0.044
156	489	-39	-0.039
160	489	-35	-0.035
164	489	-30	-0.03
168	489	-27	-0.027
172	489	-23	-0.023
176	489	-20	-0.02
180	489	-17	-0.017
184	488	-16	-0.016
188	489	-13	-0.013
192	488	-12	-0.012
196	489	-10	-0.01
200	489	-8	-0.008
204	488	-7	-0.007
208	489	-6	-0.006
212	489	-5	-0.005
216	489	-3	-0.003
220	489	-2	-0.002
224	489	-1	-0.001
228	489	-1	-0.001
232	489	0	0
236	489	0	0
240	489	1	0.001
244	489	1	0.001
248	489	2	0.002
252	489	2	0.002
256	489	3	0.003
260	488	2	0.002
264	488	2	0.002
268	489	2	0.002
272	488	2	0.002
276	488	2	0.002
280	489	2	0.002
284	488	2	0.002
288	489	2	0.002
292	489	3	0.003
296	489	3	0.003
300	489	3	0.003
304	489	4	0.004
308	489	4	0.004
312	488	4	0.004
316	488	3	0.003
320	488	3	0.003
324	488	2	0.002
328	488	2	0.002
332	488	2	0.002
336	488	2	0.002
340	488	1	0.001
344	488	1	0.001
348	488	1	0.001
352	488	1	0.001
356	488	1	0.001
360	488	1	0.001
364	488	1	0.001
368	488	0	0
372	488	0	0
376	488	0	0
380	488	0	0
384	488	0	0
388	488	0	0
392	488	0	0
396	488	0	0
400	488	0	0
404	488	0	0
408	488	0	0
412	488	0	0
416	488	0	0
420	488	0	0
424	488	0	0
428	488	0	0
432	487	0	0
436	488	0	0
440	488	0	0
444	488	0	0
448	488	0	0
452	488	0	0
456	489	0	0
460	488	0	0
464	488	0	0
468	488	0	0
472	488	0	0
476	488	0	0
480	488	0	0
484	488	0	0
488	488	0	0
492	488	0	0
496	488	0	0
500	488	0	0
504	488	0	0
508	488	0	0
512	488	0	0
516	488	0	0
520	488	0	0
524	488	0	0
528	488	0	0
532	488	0	0
536	488	0	0
540	488	0	0
544	488	0	0
548	488	0	0
552	487	0	0
556	487	-1	-0.001
560	487	-1	-0.001
564	487	-2	-0.002
568	488	-2	-0.002
572	488	-1	-0.001
576	488	-1	-0.001
580	488	-1	-0.001
584	487	-2	-0.002
588	488	-1	-0.001
592	487	-2	-0.002
596	487	-2	-0.002
600	486	-3	-0.003
604	487	-4	-0.004
608	487	-4	-0.004
612	487	-4	-0.004
616	487	-4	-0.004
620	488	-4	-0.004
624	488	-3	-0.003
628	488	-3	-0.003
632	488	-3	-0.003
636	488	-2	-0.002
640	488	-2	-0.002
644	488	-2	-0.002
648	488	-2	-0.002
652	487	-2	-0.002
656	487	-2	-0.002
660	487	-3	-0.003
664	487	-3	-0.003
668	487	-3	-0.003
672	487	-4	-0.004
676	487	-4	-0.004
680	487	-4	-0.004
684	487	-4	-0.004
688	487	-5	-0.005
692	487	-5	-0.005
696	487	-5	-0.005
700	487	-5	-0.005
704	487	-5	-0.005
708	487	-5	-0.005
712	486	-6	-0.006
716	487	-6	-0.006
720	487	-6	-0.006
724	487	-6	-0.006
728	487	-6	-0.006
732	487	-6	-0.006
736	487	-6	-0.006
740	487	-6	-0.006
744	486	-7	-0.007
748	487	-7	-0.007
752	487	-7	-0.007
756	487	-7	-0.007
760	487	-7	-0.007
764	487	-7	-0.007
768	487	-7	-0.007
772	487	-7	-0.007
776	487	-7	-0.007
780	487	-6	-0.006
784	487	-6	-0.006
788	487	-6	-0.006
792	487	-6	-0.006
796	487	-6	-0.006
800	487	-6	-0.006
804	487	-6	-0.006
808	487	-6	-0.006
812	487	-6	-0.006
816	487	-6	-0.006
820	487	-6	-0.006
824	487	-6	-0.006
828	487	-6	-0.006
832	487	-6	-0.006
836	487	-6	-0.006
840	487	-6	-0.006
844	487	-6	-0.006
848	487	-6	-0.006
852	487	-6	-0.006
856	486	-7	-0.007
860	487	-7	-0.007
864	487	-7	-0.007
868	487	-7	-0.007
872	487	-7	-0.007
876	487	-7	-0.007
880	488	-6	-0.006
884	487	-6	-0.006
888	488	-5	-0.005
892	488	-5	-0.005
896	488	-4	-0.004
900	488	-4	-0.004
904	488	-3	-0.003
908	488	-3	-0.003
912	488	-3	-0.003
916	488	-2	-0.002
920	488	-2	-0.002
924	488	-2	-0.002
928	489	-1	-0.001
932	489	0	0
936	489	0	0
940	489	0	0
944	489	1	0.001
948	489	1	0.001
952	490	3	0.003
956	490	4	0.004
960	490	5	0.005
964	489	5	0.005
968	490	6	0.006
972	490	6	0.006
976	490	7	0.007
980	490	8	0.008
984	490	8	0.008
988	490	9	0.009
992	491	10	0.01
996	491	11	0.011
1000	491	12	0.012
1004	491	12	0.012
1008	491	13	0.013
1012	491	14	0.014
1016	491	14	0.014
1020	490	14	0.014
1024	490	14	0.014
1028	490	14	0.014
1032	490	14	0.014
1036	490	14	0.014
1040	490	14	0.014
1044	490	14	0.014
1048	491	14	0.014
1052	490	14	0.014
1056	491	15	0.015
1060	490	15	0.015
1064	490	14	0.014
1068	490	14	0.014
1072	490	14	0.014
1076	490	14	0.014
1080	491	15	0.015
1084	491	15	0.015
1088	491	16	0.016
1092	491	16	0.016
1096	491	16	0.016
1100	491	17	0.017
1104	491	17	0.017
1108	491	17	0.017
1112	491	18	0.018
1116	491	18	0.018
1120	491	18	0.018
1124	490	17	0.017
1128	491	18	0.018
1132	490	17	0.017
1136	491	17	0.017
1140	491	18	0.018
1144	491	18	0.018
1148	491	18	0.018
1152	491	18	0.018
1156	491	18	0.018
1160	491	19	0.019
1164	490	18	0.018
1168	491	18	0.018
1172	490	18	0.018
1176	490	17	0.017
1180	492	18	0.018
1184	490	18	0.018
1188	490	17	0.017
1192	490	17	0.017
1196	490	16	0.016
1200	490	16	0.016
1204	491	16	0.016
1208	491	17	0.017
1212	491	17	0.017
1216	491	17	0.017
1220	491	18	0.018
1224	491	18	0.018
1228	491	18	0.018
1232	491	18	0.018
1236	492	19	0.019
1240	491	19	0.019
1244	491	19	0.019
1248	491	19	0.019
1252	491	19	0.019
1256	491	19	0.019
1260	491	19	0.019
1264	490	19	0.019
1268	491	19	0.019
1272	491	19	0.019
1276	491	19	0.019
1280	491	19	0.019
1284	491	19	0.019
1288	491	19	0.019
1292	491	19	0.019
1296	492	20	0.02
1300	492	21	0.021
1304	492	21	0.021
1308	492	22	0.022
1312	492	22	0.022
1316	492	23	0.023
1320	492	23	0.023
1324	492	23	0.023
1328	492	24	0.024
1332	492	24	0.024
1336	493	25	0.025
1340	493	26	0.026
1344	493	27	0.027
1348	493	27	0.027
1352	493	28	0.028
1356	494	29	0.029
1360	494	30	0.03
1364	494	31	0.031
1368	494	32	0.032
1372	494	33	0.033
1376	494	34	0.034
1380	494	34	0.034
1384	494	35	0.035
1388	495	36	0.036
1392	495	37	0.037
1396	495	38	0.038
1400	496	40	0.04
1404	496	41	0.041
1408	496	42	0.042
1412	496	43	0.043
1416	497	45	0.045
1420	497	47	0.047
1424	497	48	0.048
1428	497	49	0.049
1432	498	51	0.051
1436	498	53	0.053
1440	499	55	0.055
1444	499	57	0.057
1448	500	59	0.059
1452	500	61	0.061
1456	501	64	0.064
1460	501	66	0.066
1464	501	68	0.068
1468	502	71	0.071
1472	502	73	0.073
1476	503	76	0.076
1480	503	78	0.078
1484	503	81	0.081
1488	505	84	0.084
1492	505	87	0.087
1496	507	91	0.091
1500	506	94	0.094
1504	507	98	0.098
1508	508	101	0.101
1512	511	107	0.107
1516	512	112	0.112
1520	514	118	0.118
1524	518	127	0.127
1528	519	135	0.135
1532	524	146	0.146
1536	527	158	0.158
1540	530	170	0.17
1544	536	185	0.185
1548	539	201	0.201
1552	543	218	0.218
1556	550	238	0.238
1560	554	259	0.259
1564	559	281	0.281
1568	568	307	0.307
1572	573	334	0.334
1576	582	364	0.364
1580	586	394	0.394
1584	591	424	0.424
1588	599	456	0.456
1592	603	488	0.488
1596	606	519	0.519
1600	614	552	0.552
1604	618	585	0.585
1608	622	617	0.617
1612	628	650	0.65
1616	631	681	0.681
1620	634	712	0.712
1624	638	742	0.742
1628	640	770	0.77
1632	643	798	0.798
1636	644	824	0.824
1640	645	847	0.847
1644	646	869	0.869
1648	646	889	0.889
1652	646	907	0.907
1656	645	922	0.922
1660	643	935	0.935
1664	642	945	0.945
1668	640	953	0.953
1672	638	959	0.959
1676	637	964	0.964
1680	634	966	0.966
1684	634	968	0.968
1688	633	969	0.969
1692	632	970	0.97
1696	632	970	0.97
